               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087976,            0.029971,                   0,             0.45723,             0.38428,             0.36669,             0.12444,            0.034518,            0.013278,                   0,            0.070612,           0.0032653,           0.0032653
                   1,             0.06135,            0.023233,                   0,              0.5722,             0.57205,             0.63317,             0.27735,            0.035426,           0.0089987,                   0,            0.040482,            0.006468,            0.006468
                   2,            0.054564,            0.019348,                   0,             0.53759,              0.8559,             0.68056,             0.31998,             0.02817,            0.006507,                   0,            0.010219,           0.0095387,           0.0095387
                   3,            0.047449,            0.016849,                   0,             0.61246,             0.68996,             0.67182,             0.32598,             0.02703,           0.0059499,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.041654,            0.015153,                   0,              0.8143,             0.86463,             0.90789,             0.56519,            0.017661,           0.0051508,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.035107,            0.013901,                   0,             0.84986,             0.91703,             0.92559,             0.52386,            0.019845,           0.0057328,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.036913,            0.012831,                   0,             0.85055,             0.87336,             0.88368,             0.62854,            0.016619,           0.0049897,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035295,            0.012304,                   0,             0.95982,             0.93886,             0.97236,              0.6728,            0.015963,           0.0036266,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.032212,             0.01157,                   0,             0.97008,              0.9607,             0.98036,             0.73471,            0.012078,           0.0035682,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.031393,            0.011163,                   0,             0.95242,              0.9869,             0.98726,             0.73145,            0.013203,           0.0035799,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.030441,            0.010673,                   0,             0.92413,             0.95746,             0.98294,             0.75546,            0.013705,           0.0031117,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028856,            0.010879,                   0,              0.9605,             0.96943,             0.98898,             0.78049,            0.013066,           0.0035799,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.02675,            0.010167,                   0,             0.98338,              0.9738,             0.98844,             0.81512,            0.012443,           0.0036701,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026357,           0.0098042,                   0,             0.94894,             0.97382,             0.98172,             0.79979,            0.012715,           0.0031825,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.026276,           0.0093414,                   0,              0.9348,             0.93917,             0.98373,             0.72887,             0.01327,           0.0036397,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.025811,           0.0092009,                   0,             0.99118,              0.9811,             0.99412,             0.83217,             0.00964,           0.0029695,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.024132,           0.0095086,                   0,             0.98694,             0.99004,             0.99095,             0.83557,            0.009422,           0.0027711,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.023304,           0.0090814,                   0,             0.99164,             0.98253,             0.99451,             0.86282,           0.0097624,           0.0024617,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.024942,           0.0088816,                   0,             0.98265,             0.98903,             0.99331,             0.84527,            0.009445,           0.0026222,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.022778,            0.008652,                   0,             0.98136,             0.99563,             0.99448,             0.72511,            0.010806,            0.002403,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.022232,            0.008765,                   0,             0.98426,             0.99127,             0.99447,             0.87567,           0.0083256,           0.0024419,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021554,            0.008842,                   0,                   1,              0.9888,               0.995,             0.87628,           0.0081208,           0.0024459,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023173,           0.0089862,                   0,             0.98675,             0.97566,             0.99439,             0.86912,           0.0092225,           0.0025056,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.021501,           0.0080889,                   0,             0.99127,             0.99114,             0.99308,             0.86804,           0.0086276,           0.0024982,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021518,           0.0083549,                   0,             0.99554,              0.9755,              0.9937,             0.87762,           0.0088793,           0.0027509,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.019669,           0.0079448,                   0,             0.99973,             0.99563,               0.995,             0.89065,           0.0085586,           0.0022394,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.020111,           0.0078655,                   0,                   1,              0.9949,               0.995,              0.9186,           0.0081952,           0.0021569,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.019755,           0.0078644,                   0,             0.98939,             0.99563,             0.99448,             0.90179,           0.0073415,           0.0021001,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.01957,           0.0078753,                   0,             0.99746,             0.99563,               0.995,             0.89906,            0.007036,           0.0020261,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.018177,           0.0075912,                   0,              0.9999,             0.99563,               0.995,             0.91296,           0.0069306,           0.0024141,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.017668,           0.0076877,                   0,              0.9966,             0.99127,               0.995,             0.91774,           0.0065612,           0.0021667,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.016746,           0.0075957,                   0,             0.96526,             0.97079,             0.99331,             0.91261,           0.0069127,           0.0020845,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.016342,           0.0072315,                   0,             0.95637,             0.97817,             0.99065,             0.90022,           0.0067541,           0.0023584,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.017707,           0.0071089,                   0,                   1,             0.98489,             0.99496,             0.93052,           0.0066753,           0.0020064,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.018221,           0.0071803,                   0,             0.97466,             0.96507,             0.99363,             0.91073,           0.0075342,           0.0025822,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.015778,           0.0071093,                   0,             0.99437,             0.99563,               0.995,             0.92709,           0.0060079,           0.0022498,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.016597,           0.0071085,                   0,                   1,             0.99408,               0.995,             0.94121,            0.005735,            0.001932,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.015057,           0.0070485,                   0,             0.98163,             0.99127,             0.99443,             0.93192,           0.0056908,           0.0021216,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.016943,           0.0072297,                   0,             0.93431,             0.95197,             0.98705,             0.92279,           0.0061274,           0.0024754,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.016707,           0.0070254,                   0,             0.99563,              0.9948,             0.99496,             0.94532,           0.0052273,           0.0018903,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01617,           0.0066526,                   0,             0.99437,             0.99563,             0.99491,             0.93201,           0.0052888,           0.0019565,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014291,           0.0067683,                   0,             0.99561,             0.99104,             0.99491,             0.94245,           0.0049199,           0.0018868,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.013897,           0.0064445,                   0,                   1,             0.99406,               0.995,             0.95631,           0.0049744,           0.0018857,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.013935,           0.0064248,                   0,             0.98425,             0.99127,             0.99474,             0.95429,           0.0049701,           0.0019598,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.015324,           0.0067862,                   0,             0.97014,             0.99302,             0.99435,             0.95393,           0.0048695,           0.0019159,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.013032,           0.0064394,                   0,             0.99119,             0.99127,             0.99487,             0.95399,           0.0047728,           0.0019128,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.014239,           0.0062752,                   0,             0.99557,             0.98133,             0.99487,             0.95703,           0.0047965,           0.0019474,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013086,           0.0064191,                   0,             0.99578,             0.97817,             0.99474,             0.95907,           0.0049362,           0.0019159,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.013387,           0.0060059,                   0,             0.99576,             0.96507,             0.99427,             0.95827,           0.0047068,           0.0018931,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.012549,           0.0065082,                   0,             0.99556,             0.97858,              0.9947,             0.95726,           0.0046352,           0.0018743,                   0,            0.000496,            0.000496,            0.000496
